Субъект;Последний год;Источник поступления данных в ЦЗЛ;Год первого поступления данных;Организация, проводившая обследования;Реестр ЛЗМ;Источник информации: 1-ИИ, 2-ИИ…5-ИИ;Приоритет проведения ЛЗМ;Способ проведения  государственного лесопатологического мониторинга:                                             1-ГЛПМ... 7-ГЛПМ;Оптимальные сроки проведения ЛЗМ;№ акта ЛПО;Внесение изменений;месяц для вновь выявленных или переоформленных;Дата внесения в реестр; Примечание к выделу (местоположение) ;Дата последнего изменеия в реестре;Год проведения лесоустройства;Дата обследования;широта;долгота;Лесничество;Участковое лесничество;Участок, урочище и т.п.;Квартал;Выдел;№ лесопатологического выдела;Площадь выдела, га;Целевое назначение лесов (код);Целевое назначение лесов по таксационным описаниям;Категория защитности;ОЗУ;ООПТ;Группа категория защитности;Состав;группа возраста;Возраст;Бонитет;Полнота;Запас на 1га, кбм;Транспортная доступность;Лесопользователь;Вид аренды ;Дата заключения договора;Срок аренды;год обследования;площадь обследования,га;№ разрешительного письма;площадь по ДЗЗ и ЛС,га;Вид СОМ 2015-2019;площадь СОМ 2015-2019, га;"Категория по форме ""Рослесхоз""";Главная порода;Повреждаемая порода;Код группы причин;Причина ослабления или гибели древостоя (1-ОЛПМ);Код повреждения по 1-ОЛПМ;Код второстепенной причины повреждения по 1-ОЛПМ;Год повреждения;Код защитности для приложения 2, 3;Прогноз;Повреждаемая порода по очагам 2-ОЛПМ;Код группы причины по 2-ОЛПМ;Виды вредителей и болезней (2-ОЛПМ);Код повреждения по 2-ОЛПМ;Фаза развития очага;Номер очага;общий отпад;степень усыхания;в т.ч. текущий;поврежденные (заселенные);Степень повреждения (заселения);Код признака, главный;% деревьев с наличием признака;Код признака второстепенный;% деревьев с наличием признака;Полнота, остающаяся после выборки деревьев, подлежащих рубке;Обеспечение лесовосстановления;Средневзвешенная категория состояния породы;Средневзвешенная категория состояния насаждения;Вид рекомендации;% деревьев от запаса подлежащий рубке;Погибшие;площадь рекомендации, га;запас рекомендованных,  куб. м;год гибели;Назначенные мероприятия текущего и прошедшего года;Площадь МЗЛ,га;запас МЗЛ, куб. м;Количество выбираемых деревьев (для РАД), шт.;Без признаков ослабления;Без признаков ослабления (Р);Ослабленные;Ослабленные (Р);Сильно ослабленные;Сильно ослабленные (Р);Усыхание;Усыхание (Р);Свежий сухостой;Свежий ветровал;Свежий бурелом;Старый сухостой;Старый ветровал;Старый бурелом;Площадь участка на конец декабря 2020 года;площадь, га (январь);запас, кмб. (январь);Площадь выдела с наличием ослабления (усыхания) древостоя на конец января 2021 года;площадь, га (февраль);запас, кмб. (февраль);Площадь выдела с наличием ослабления (усыхания) древостоя на конец февраля 2021 года;площадь, га (март);запас, кмб. (март);Площадь выдела с наличием ослабления (усыхания) древостоя на конец марта 2021 года;площадь, га (апрель);запас, кмб. (апрель);Площадь выдела с наличием ослабления (усыхания) древостоя на конец апреля 2021 года;площадь, га (май);запас, кмб. (май);Площадь выдела с наличием ослабления (усыхания) древостоя на конец мая 2021 года;площадь, га (июнь);запас, кмб. (июнь);Площадь выдела с наличием ослабления (усыхания) древостоя на конец июня 2021 года;площадь,га (июль);запас, кмб. (июль);Площадь выдела с наличием ослабления (усыхания) древостоя на конец июля 2021 года;площадь,га (август);запас, кмб. (август);Площадь выдела с наличием ослабления (усыхания) древостоя на конец августа 2021 года;площадь,га (сентябрь);запас, кмб. (сентябрь);Площадь выдела с наличием ослабления (усыхания) древостоя на конец сентября 2021 года;площадь,га (октябрь);запас, кмб. (октябрь);Площадь выдела с наличием ослабления (усыхания) древостоя на конец октября 2021 года;площадь, га (ноябрь);запас, кмб. (ноябрь);Площадь выдела с наличием ослабления (усыхания) древостоя на конец ноября 2021 года;площадь, га (декабрь);запас, кмб. (декабрь);Площадь выдела с наличием ослабления (усыхания) древостоя на конец декабря 2021 года;Вид МЗЛ c начала года;Площадь нарастающим итогом, га;Запас МЗЛ с начала года;Способ ЛПО;Ф.И.О. исполнителя работ;занесено Ф.И.О.;Источники данных (для реестра приложение 1.1);Примечание;Способ актуализации
1;;2;3;4;5;6;7;8;9;10;11;12;13;14;;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;95;96;97;98;99;100;101;102;103;104;105;106;107;108;109;110;111;112;113;114;115;116;117;118;119;120;121;122;123;124;125;126;127;128;129;130;131;132;133;134;135;136;137;138;139;140;141;142;143;144;146;147
Республика Хакасия;2019;ЛПОВ;;лесничество;;2-ИИ;1;;1 декада января - 3 декада декабря;6 от 22.02.2019;;;05.03.2019;;;1999;09.01.2019;52.647083;90.125283;Абазинское;Абазинское;;1;5;;69;1;защ;149;;;3;10С+Л+Б;3;70;1;1;370;;Нет;;;;2019;69;;;;;Ураганные ветра 2019 года;Со;Со;3;Воздействия сильных ветров прошлых лет, повлекшие наклон более 10°, изгиб или вывал деревьев;821;;2019;5;улучшение;;;;;;;0,02;до 4%;0,02;0,02;;140;0,02;;;1,0;;1,10;1,10;540;0,02;;69;5,14;;;;;8;;;;;;;;;;;;;;;69;;;69;;;69;;;69;;;69;;;;;;;;;;;;;;;;;;;;;;;;69;;0;0;2;Нестерова Г.А.;Линдт Е.А.;32;Рубка аварийных деревьев - 8;
Республика Хакасия;2019;ЛПОВ;;лесничество;;2-ИИ;1;;1 декада января - 3 декада декабря;6 от 22.02.2019;;;05.03.2019;;;1999;09.01.2019;52.651817;90.148300;Абазинское;Абазинское;;1;6;;20;1;защ;149;;;3;9С1Б+Л;3;80;1;0,9;340;;Нет;;;;2019;20;;;;;Ураганные ветра 2019 года;Со;Бб;3;Воздействия сильных ветров прошлых лет, повлекшие наклон более 10°, изгиб или вывал деревьев;821;;2019;5;улучшение;;;;;;;0,01;до 4%;0,01;0,01;;140;0,01;;;0,9;;1,10;1,10;540;0,01;;20;0,34;;;;;1;;;;;;;;;;;;;;;20;;;20;;;20;;;20;;;20;;;;;;;;;;;;;;;;;;;;;;;;20;;0;0;2;Нестерова Г.А.;Линдт Е.А.;32;Рубка аварийных деревьев - 1;
Республика Хакасия;2019;ЛПОВ;;лесничество;;2-ИИ;1;;1 декада мая - 1 декада октября;6 от 22.02.2019;;;05.03.2019;;;1999;09.01.2019;52.646083;90.137700;Абазинское;Абазинское;;1;8;;6;1;защ;149;;;3;9Б1С;3;50;2;1;190;;Нет;;;;2019;6;;;;;Ураганные ветра 2019 года;Бб;Со;3;Воздействия сильных ветров прошлых лет, повлекшие наклон более 10°, изгиб или вывал деревьев;821;;2019;5;улучшение;;;;;;;0,2;до 4%;0,21;0,21;;140;0,21;;;1,0;;1,10;1,10;540;0,21;;6;2,48;;;;;2;;;;;;;;;;;;;;;6;;;6;;;6;;;6;;;6;;;;;;;;;;;;;;;;;;;;;;;;6;;0;0;2;Нестерова Г.А.;Линдт Е.А.;32;Рубка аварийных деревьев - 2;
Республика Хакасия;2007;Мониторинг 2007;;ЦЗЛ;;4-ИИ;1;1-ГЛПМ;1 декада мая - 1 декада октября;;;;05.12.2016;;;1999;2007;;;Абазинское;Абазинское;;12;20;;9;1;защ;132;;;3;6Б3С1Л;4;65;2;0,7;210;;Нет;;;;2007;9;;;;;Антропогенные факторы;Бб;Бб;6;Механические повреждения стволов (антропогенные);703;;2007;5;без изменений;;;;;;;20;10,1-40%;;;;;;;;0,6;;;;300;20;;9;;;;;;;;;;;;;;;;;;;;;9;;;9;;;9;;;9;;;9;;;;;;;;;;;;;;;;;;;;;;;;9;;0;0;1;;;11;;
Республика Хакасия;2007;Мониторинг 2007;;ЦЗЛ;;4-ИИ;1;1-ГЛПМ;1 декада мая - 1 декада октября;;;;05.12.2016;;;1999;2007;;;Абазинское;Абазинское;;16;19;;14;1;защ;132;;;3;6С4Б;2;80;2;0,5;170;;Нет;;;;2007;14;;;;;Снеголом, снеговал прошлых лет;Со;Со;3;Воздействия тяжести снега, повлекшие сильный изгиб или слом стволов деревьев в прошлые годы;823;;2007;5;без изменений;;;;;;;23,1;10,1-40%;;;;;;;;0,4;;;;300;23,1;;14;;;;;;;;;;;;;;;;;;;;;14;;;14;;;14;;;14;;;14;;;;;;;;;;;;;;;;;;;;;;;;14;;0;0;1;;;11;;
Республика Хакасия;2017;ЛПОВ;;лесничество;;2-ИИ;3;;1 декада мая - 1 декада октября;;;;05.12.2017;;;1999;2017;;;Абазинское;Абазинское;;31;7;;26;1;эксп;145;1;;3;3К3П2Б2Ос;2;120;4;0,7;300;;Абазалесторг;Заготовка древесины;;09.06.2008-09.06.2023;2017;26;;;;;Повреждение насекомыми;Кс;Кс;2;Стволовые вредители;300;;2007;5;без изменений;;;;;;;12;10,1-40%;9,3;;;;;;;0,6;3К5П2Б(25) 3,0м 2,0т,шт/га;1,99;1,99;370;12;;26;;;;;;;43,34983498;;32,330033;;12,330033;;5,669966997;;3,650165017;;;2,669966997;;;26;;;26;;;26;;;26;;;26;;;;;;;;;;;;;;;;;;;;;;;;26;;0;0;1;;;32;;
Республика Хакасия;2017;ЛПОВ;;лесничество;;2-ИИ;3;;1 декада мая - 1 декада октября;;;;05.12.2017;;;1999;2017;;;Абазинское;Абазинское;;31;16;;24;1;эксп;145;1;;3;6К3П1Б;3;180;3;0,6;290;;Абазалесторг;Заготовка древесины;;09.06.2008-09.06.2023;2017;24;;;;;Повреждение насекомыми;Кс;Кс;2;Стволовые вредители;300;;2007;5;без изменений;;;;;;;14,6;10,1-40%;11,2;;;;;;;0,5;3К5П2Б(30) 3,0м 2,0т.шт/га;2,07;2,07;370;14,6;;24;;;;;;;46,71612903;;23,74193548;;14,92258065;;5,04516129;;6,135483871;;;3,438709677;;;24;;;24;;;24;;;24;;;24;;;;;;;;;;;;;;;;;;;;;;;;24;;0;0;1;;;32;;
Республика Хакасия;2007;Мониторинг 2007;;ЦЗЛ;;4-ИИ;1;1-ГЛПМ;1 декада мая - 1 декада октября;;;;05.12.2016;;;1999;2007;;;Абазинское;Абазинское;;36;7;;21;1;защ;132;;;3;6С2Л2Б;2;70;3;0,7;110;;Нет;;;;2007;21;;;;;Снеголом, снеговал прошлых лет;Со;Со;3;Воздействия тяжести снега, повлекшие сильный изгиб или слом стволов деревьев в прошлые годы;823;;2007;5;ухудшение;;;;;;;45,6;более 40%;;;;;;;;0,4;;;;300;45,6;;21;;;;;;;;;;;;;;;;;;;;;21;;;21;;;21;;;21;;;21;;;;;;;;;;;;;;;;;;;;;;;;21;;0;0;1;;;11;;
Республика Хакасия;2007;Мониторинг 2007;;ЦЗЛ;;4-ИИ;1;1-ГЛПМ;1 декада мая - 1 декада октября;;;;05.12.2016;;;1999;2007;;;Абазинское;Абазинское;;37;23;;23;1;защ;132;;;3;6С1Л3Б;1;40;2;0,8;170;;Нет;;;;2007;23;;;;;Снеголом, снеговал прошлых лет;Со;Со;3;Воздействия тяжести снега, повлекшие сильный изгиб или слом стволов деревьев в прошлые годы;823;;2007;5;без изменений;;;;;;;22,6;10,1-40%;;;;;;;;0,6;;;;300;22,6;;23;;;;;;;;;;;;;;;;;;;;;23;;;23;;;23;;;23;;;23;;;;;;;;;;;;;;;;;;;;;;;;23;;0;0;1;;;11;;
Республика Хакасия;2007;Мониторинг 2007;;ЦЗЛ;;4-ИИ;1;1-ГЛПМ;1 декада мая - 1 декада октября;;;;05.12.2016;;;1999;2007;;;Абазинское;Абазинское;;37;26;;23;1;эксп;132;;;3;6С1Л3Б;1;40;2;0,8;170;;Нет;;;;2007;23;;;;;Снеголом, снеговал прошлых лет;Со;Со;3;Воздействия тяжести снега, повлекшие сильный изгиб или слом стволов деревьев в прошлые годы;823;;2007;5;без изменений;;;;;;;24;10,1-40%;;;;;;;;0,6;;;;300;24;;23;;;;;;;;;;;;;;;;;;;;;23;;;23;;;23;;;23;;;23;;;;;;;;;;;;;;;;;;;;;;;;23;;0;0;1;;;11;;
Республика Хакасия;2017;ЛПОВ;;лесничество;;2-ИИ;3;;1 декада мая - 1 декада октября;;;;05.12.2017;;;1999;2017;;;Абазинское;Абазинское;;52;12;;60;1;эксп;145;1;;3;3К5Л1П1Б;2;110;3;0,7;340;;Абазалесторг;Заготовка древесины;;09.06.2008-09.06.2023;2017;60;;;;;Повреждение насекомыми;Кс;Кс;2;Стволовые вредители;300;;2010;5;без изменений;;;;;;;5;4,1-10%;2;;;;;;;0,7;;1,29;1,29;370;5;;60;;;;;;;87;;5;;3;;2;;0;;;3;;;60;;;60;;;60;;;60;;;60;;;;;;;;;;;;;;;;;;;;;;;;60;;0;0;1;;;32;;
Республика Хакасия;2017;ЛПОВ;;лесничество;;2-ИИ;3;;1 декада мая - 1 декада октября;;;;05.12.2017;;;1999;2017;;;Абазинское;Абазинское;;52;18;;73;1;эксп;145;1;;3;5К4Л1С;2;120;4;0,7;320;;Абазалесторг;Заготовка древесины;;09.06.2008-09.06.2023;2017;73;;;;;Повреждение насекомыми;Кс;Кс;2;Стволовые вредители;300;;2010;5;без изменений;;;;;;;8;4,1-10%;2;;;;;;;0,6;;1,36;1,36;370;8;;73;;;;;;;88;;2;;2;;2;;0;;;6;;;73;;;73;;;73;;;73;;;73;;;;;;;;;;;;;;;;;;;;;;;;73;;0;0;1;;;32;;
Республика Хакасия;2017;ЛПОВ;;лесничество;;2-ИИ;3;;1 декада мая - 1 декада октября;;;;05.12.2017;;;1999;2017;;;Абазинское;Абазинское;;52;20;;59;1;эксп;145;1;;3;3К5Л2П;2;110;3;0,6;280;;Абазалесторг;Заготовка древесины;;09.06.2008-09.06.2023;2017;59;;;;;Повреждение насекомыми;Кс;Кс;2;Стволовые вредители;300;;2010;5;без изменений;;;;;;;6;4,1-10%;2;;;;;;;0,6;3Б5П2Б(25) 2,0м 2,0т.шт/га;1,28;1,28;370;6;;59;;;;;;;90;;2;;2;;2;;0;;;4;;;59;;;59;;;59;;;59;;;59;;;;;;;;;;;;;;;;;;;;;;;;59;;0;0;1;;;32;;
